"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"MJ1-2503A","CUI Inc.","CP1-2503AM-ND","","","Bag","Active","4","0.77000","$3.08","14050","12 Weeks","CONN JACK MONO 2.5MM R/A","RoHS Compliant","Lead free","Not Available"
"UFW1E470MDD1TD","Nichicon","493-10997-1-ND","","","Cut Tape (CT)","Active","2","0.23000","$0.46","2866","18 Weeks","CAP ALUM 47UF 20% 25V RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"K104K15X7RF53H5","Vishay BC Components","BC3323-ND","","","Bulk","Active","2","0.23000","$0.46","18966","8 Weeks","CAP CER 0.1UF 50V X7R RADIAL","RoHS Compliant","Lead free","Not Available"
"CF14JT100R","Stackpole Electronics Inc.","CF14JT100RCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","244152","14 Weeks","RES 100 OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected"
"CF14JT220R","Stackpole Electronics Inc.","CF14JT220RCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","251710","14 Weeks","RES 220 OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected"
"CF14JT470R","Stackpole Electronics Inc.","CF14JT470RCT-ND","","","Cut Tape (CT)","Active","3","0.10000","$0.30","210332","14 Weeks","RES 470 OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected"
"CF14JT680R","Stackpole Electronics Inc.","CF14JT680RCT-ND","","","Cut Tape (CT)","Active","3","0.10000","$0.30","107294","14 Weeks","RES 680 OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected"
"CF14JT4K70","Stackpole Electronics Inc.","CF14JT4K70CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","461697","14 Weeks","RES 4.7K OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected"
"CF14JT100K","Stackpole Electronics Inc.","CF14JT100KCT-ND","","","Cut Tape (CT)","Active","6","0.10000","$0.60","600466","14 Weeks","RES 100K OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected"
"LTV-817","Lite-On Inc.","160-1366-5-ND","","","Tube","Active","2","0.41000","$0.82","52935","12 Weeks","OPTOISOLATR 5KV TRANSISTOR 4-DIP","RoHS Compliant","Lead free","Not Available"
"FQP30N06","ON Semiconductor","FQP30N06FS-ND","","","Tube","Active","2","1.68000","$3.36","2009","52 Weeks","MOSFET N-CH 60V 30A TO-220","RoHS Compliant","Lead free","Not Available"
"1N5819-E3/54","Vishay Semiconductor Diodes Division","1N5819-E3/54GICT-ND","","","Cut Tape (CT)","Active","3","0.48000","$1.44","29022","40 Weeks","DIODE SCHOTTKY 40V 1A DO204AL","RoHS Compliant","Lead free","REACH Unaffected"
"1825910-6","TE Connectivity ALCOSWITCH Switches","450-1650-ND","","","Bulk","Active","4","0.11000","$0.44","65427","11 Weeks","SWITCH TACTILE SPST-NO 0.05A 24V","RoHS Compliant","Lead free","Not Available"
"G5V-1-2 DC5","Omron Electronics Inc-EMC Div","Z3824-ND","","","Tube","Active","1","2.52000","$2.52","403","Not Available","RELAY GENERAL PURPOSE SPDT 1A 5V","RoHS Compliant","Lead free","Not Available"
"EJ508A","MPD (Memory Protection Devices)","EJ508A-ND","","","Bulk","Active","4","1.18000","$4.72","27447","12 Weeks","CONN PWR JACK 2.1X5.5MM SOLDER","RoHS Compliant","Lead free","REACH Unaffected"
"C503B-RCN-CW0Z0AA1","Cree Inc.","C503B-RCN-CW0Z0AA1-ND","","","Bulk","Active","1","0.15000","$0.15","98211","7 Weeks","LED RED CLEAR 5MM ROUND T/H","RoHS Compliant","Lead free","Not Available"
"C503B-GCS-CY0C0791","Cree Inc.","C503B-GCS-CY0C0791-ND","","","Bulk","Active","1","0.24000","$0.24","8395","7 Weeks","LED GREEN CLEAR 5MM ROUND T/H","RoHS Compliant","Lead free","Not Available"
"C503B-BCN-CV0Z0461","Cree Inc.","C503B-BCN-CV0Z0461-ND","","","Bulk","Active","1","0.21000","$0.21","69072","7 Weeks","LED BLUE CLEAR 5MM ROUND T/H","RoHS Compliant","Lead free","Not Available"
"L7805CV","STMicroelectronics","497-1443-5-ND","","","Tube","Active","1","0.50000","$0.50","35988","45 Weeks","IC REG LINEAR 5V 1.5A TO220AB","RoHS Compliant","Lead free","Not Available"
"507302B00000G","Aavid, Thermal Division of Boyd Corporation","HS115-ND","","","Bulk","Active","1","0.41000","$0.41","67518","7 Weeks","HEATSINK TO-220 2.5W LOW PROFILE","RoHS Compliant","Lead free","Not Available"
"4880G","Aavid, Thermal Division of Boyd Corporation","HS417-ND","","","Bulk","Active","1","2.68000","$2.68","5728","9 Weeks","MOUNTING KIT TO-220","RoHS Compliant","Lead free","Not Available"
"TR2A","Switchcraft Inc.","SC1514-ND","","","Bulk","Active","1","3.26000","$3.26","798","12 Weeks","CONN JACK MONO 2.46MM PNL MNT","RoHS Compliant","Lead free","REACH Unaffected"
"PPTC121LFBN-RC","Sullins Connector Solutions","S6100-ND","","","Tray","Active","2","0.78000","$1.56","11267","4 Weeks","CONN HEADER FEM 12POS.1"" SGL TIN","RoHS Compliant","Lead free","REACH Unaffected"
"OSTVN04A150","On Shore Technology Inc.","ED10563-ND","","","Bulk","Active","4","1.59000","$6.36","14655","12 Weeks","CONN TERM BLOCK 2.54MM 4POS PCB","RoHS Compliant","Lead free","REACH Unaffected"
"OSTVN02A150","On Shore Technology Inc.","ED10561-ND","","","Bulk","Active","1","1.05000","$1.05","27440","12 Weeks","CONN TERM BLOCK 2.54MM 2POS PCB","RoHS Compliant","Lead free","REACH Unaffected"
"OSTVN05A150","On Shore Technology Inc.","ED10564-ND","","","Bulk","Active","1","1.70000","$1.70","3296","12 Weeks","CONN TERM BLOCK 2.54MM 5POS PCB","RoHS Compliant","Lead free","REACH Unaffected"
"ED500/2DS","On Shore Technology Inc.","ED1623-ND","","","Bulk","Active","1","0.98000","$0.98","12971","10 Weeks","TERMINAL BLOCK 5MM 2POS PCB","RoHS Compliant","Lead free","REACH Unaffected"
"OSTTC030162","On Shore Technology Inc.","ED2601-ND","","","Bulk","Active","1","1.06000","$1.06","25167","12 Weeks","TERMINAL BLOCK 5MM VERT 3POS PCB","RoHS Compliant","Lead free","REACH Unaffected"
